Rk,Pk,Tm,Player,College,Yrs,G,MP,WS,WS/48,BPM,VORP,Season
5,5,CLE,Darius Garland,Vanderbilt,2,65,2039,-0.9,-.021,-5.0,-1.6,2019
6,6,PHO,Jarrett Culver,Texas Tech,2,74,1753,-0.2,-.005,-4.5,-1.1,2019
7,7,CHI,Coby White,UNC,2,76,2057,1.1,.025,-3.0,-0.5,2019
8,8,ATL,Jaxson Hayes,Texas,2,74,1199,4.2,.166,-0.5,0.4,2019
9,9,WAS,Rui Hachimura,Gonzaga,2,55,1638,2.2,.065,-3.1,-0.4,2019
10,10,ATL,Cam Reddish,Duke,2,68,1836,-0.2,-.004,-4.2,-1.0,2019
11,11,MIN,Cameron Johnson,UNC,2,68,1510,3.5,.110,0.9,1.1,2019
12,12,CHO,P.J. Washington,Kentucky,2,71,2130,2.7,.061,-1.5,0.3,2019
13,13,MIA,Tyler Herro,Kentucky,2,65,1845,1.8,.047,-1.9,0.0,2019
14,14,BOS,Romeo Langford,Indiana,1,32,370,0.2,.025,-4.9,-0.3,2019
15,15,DET,Sekou Doumbouya,,2,48,868,-0.2,-.011,-6.3,-0.9,2019
16,16,ORL,Chuma Okeke,Auburn,1,5,91,0.1,.049,-2.6,0.0,2019
17,17,BRK,Nickeil Alexander-Walker,Virginia Tech,2,55,728,0.1,.004,-3.5,-0.3,2019
18,18,IND,Goga Bitadze,,1,54,471,0.7,.067,-2.3,0.0,2019
19,19,SAS,Luka Šamanić,,2,6,56,0.0,-.025,-5.4,0.0,2019
20,20,BOS,Matisse Thybulle,Washington,2,75,1417,2.4,.083,0.2,0.8,2019
21,21,OKC,Brandon Clarke,Gonzaga,2,69,1616,5.5,.162,2.0,1.6,2019
22,22,BOS,Grant Williams,Tennessee,2,77,1196,1.7,.070,-2.9,-0.3,2019
23,23,UTA,Darius Bazley,,2,72,1458,0.9,.031,-2.2,-0.1,2019
24,24,PHI,Ty Jerome,Virginia,1,31,328,0.0,-.003,-3.8,-0.2,2019
25,25,POR,Nassir Little,UNC,2,51,591,0.6,.046,-3.6,-0.2,2019
26,26,CLE,Dylan Windler,Belmont,1,1,9,0.0,-.209,-10.3,0.0,2019
27,27,BRK,Mfiondu Kabengele,Florida State,2,19,97,0.1,.063,-2.9,0.0,2019
28,28,GSW,Jordan Poole,Michigan,2,64,1346,-1.1,-.040,-6.5,-1.5,2019
29,29,SAS,Keldon Johnson,Kentucky,2,29,685,2.0,.142,0.3,0.4,2019
30,30,MIL,Kevin Porter Jr.,USC,1,50,1162,0.3,.012,-3.8,-0.5,2019
31,31,BRK,Nicolas Claxton,Georgia,1,15,187,0.5,.121,-0.6,0.1,2019
32,32,PHO,KZ Okpala,Stanford,2,9,67,0.0,.012,-5.8,-0.1,2019
33,33,PHI,Carsen Edwards,Purdue,2,41,380,0.1,.011,-5.0,-0.3,2019
34,34,PHI,Bruno Fernando,Maryland,2,63,799,0.8,.048,-4.3,-0.5,2019
35,35,ATL,Didi Louzada,,,,,,,,,2019
36,36,CHO,Cody Martin,Nevada,2,59,1028,1.3,.061,-1.9,0.0,2019
37,37,DAL,Deividas Sirvydis,,1,1,1,0.0,-.013,-10.1,0.0,2019
38,38,CHI,Daniel Gafford,Arkansas,2,53,748,2.3,.148,-1.1,0.2,2019
39,39,NOP,Alen Smailagić,,1,14,139,0.2,.081,-2.2,0.0,2019
40,40,SAC,Justin James,Wyoming,2,40,261,0.1,.011,-2.3,0.0,2019
41,41,GSW,Eric Paschall,Villanova,2,71,1868,2.8,.073,-2.5,-0.2,2019
42,42,PHI,Admiral Schofield,Tennessee,1,33,368,0.1,.017,-5.5,-0.3,2019
43,43,MIN,Jaylen Nowell,Washington,2,16,159,0.2,.047,-4.1,-0.1,2019
44,44,MIA,Bol Bol,Oregon,2,14,133,0.0,.002,-5.8,-0.1,2019
45,45,DET,Isaiah Roby,Nebraska,2,11,153,0.4,.111,-2.4,0.0,2019
46,46,ORL,Talen Horton-Tucker,Iowa State,2,18,281,0.7,.111,-1.0,0.1,2019
47,47,SAC,Ignas Brazdeikis,Michigan,2,12,57,-0.1,-.081,-8.5,-0.1,2019
48,48,LAC,Terance Mann,Florida State,2,51,441,0.7,.072,-3.3,-0.2,2019
49,49,SAS,Quinndary Weatherspoon,Mississippi State,1,11,78,-0.1,-.071,-7.4,-0.1,2019
50,50,IND,Jarrell Brantley,College of Charleston,2,10,102,0.0,-.005,-5.0,-0.1,2019
51,51,BOS,Tremont Waters,LSU,2,14,152,-0.4,-.119,-8.2,-0.2,2019
52,52,CHO,Jalen McDaniels,San Diego State,2,25,376,0.5,.067,-4.0,-0.2,2019
53,53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,0.0,-.008,-9.0,-0.1,2019
54,54,PHI,Marial Shayok,Iowa State,1,4,28,-0.1,-.130,-13.0,-0.1,2019
55,55,NYK,Kyle Guy,Virginia,2,7,44,0.0,.046,-3.2,0.0,2019
56,56,LAC,Jaylen Hands,UCLA,,,,,,,,2019
57,57,NOP,Jordan Bone,Tennessee,2,16,146,0.1,.024,-5.8,-0.1,2019
58,58,GSW,Miye Oni,Yale,2,16,154,0.3,.081,-3.1,0.0,2019
59,59,TOR,Dewan Hernandez,Miami (FL),1,6,28,0.0,.043,-9.6,-0.1,2019
60,60,SAC,Vanja Marinković,,,,,,,,,2019
1,1,MIN,Anthony Edwards,Georgia,1,11,272,-0.4,-.066,-7.7,-0.4,2020
2,2,GSW,James Wiseman,Memphis,1,12,255,0.2,.030,-5.1,-0.2,2020
3,3,CHO,LaMelo Ball,,1,13,330,0.8,.123,3.4,0.5,2020
4,4,CHI,Patrick Williams,Florida State,1,11,291,0.2,.025,-3.9,-0.1,2020
5,5,CLE,Isaac Okoro,Auburn,1,7,252,0.0,-.003,-6.9,-0.3,2020
6,6,ATL,Onyeka Okongwu,USC,,,,,,,,2020
7,7,DET,Killian Hayes,,1,7,148,-0.6,-.181,-13.6,-0.4,2020
8,8,NYK,Obi Toppin,Dayton,1,2,25,0.0,-.045,-3.8,0.0,2020
9,9,WAS,Deni Avdija,,1,11,255,0.4,.084,-1.2,0.1,2020
10,10,PHO,Jalen Smith,Maryland,1,2,20,0.0,-.024,-4.6,0.0,2020
11,11,SAS,Devin Vassell,Florida State,1,11,179,0.4,.101,-0.3,0.1,2020
12,12,SAC,Tyrese Haliburton,Iowa State,1,10,289,1.0,.162,3.5,0.4,2020
13,13,NOP,Kira Lewis Jr.,Alabama,1,3,28,0.0,.057,-2.0,0.0,2020
14,14,BOS,Aaron Nesmith,Vanderbilt,1,3,39,-0.1,-.112,-13.9,-0.1,2020
15,15,ORL,Cole Anthony,UNC,1,11,256,-0.1,-.019,-5.9,-0.3,2020
16,16,POR,Isaiah Stewart,Washington,1,9,152,0.3,.082,-5.7,-0.1,2020
17,17,MIN,Aleksej Pokusevski,,1,9,148,-0.4,-.123,-5.8,-0.1,2020
18,18,DAL,Josh Green,Arizona,1,8,66,0.0,.024,-8.4,-0.1,2020
19,19,BRK,Saddiq Bey,Villanova,1,10,230,0.3,.059,-1.9,0.0,2020
20,20,MIA,Precious Achiuwa,Memphis,1,10,184,0.4,.106,-3.7,-0.1,2020
21,21,PHI,Tyrese Maxey,Kentucky,1,13,278,0.5,.083,-1.7,0.0,2020
22,22,DEN,Zeke Nnaji,Arizona,1,5,11,0.0,-.125,-15.9,0.0,2020
23,23,NYK,Leandro Bolmaro,,,,,,,,,2020
24,24,MIL,R.J. Hampton,,1,8,16,0.0,-.004,-10.6,0.0,2020
25,25,OKC,Immanuel Quickley,Kentucky,1,8,134,0.1,.037,-4.0,-0.1,2020
26,26,BOS,Payton Pritchard,Oregon,1,10,229,0.5,.095,-0.8,0.1,2020
27,27,UTA,Udoka Azubuike,Kansas,1,5,24,0.1,.199,-0.4,0.0,2020
28,28,LAL,Jaden McDaniels,Washington,1,5,37,0.1,.130,1.0,0.0,2020
29,29,TOR,Malachi Flynn,San Diego State,1,7,59,-0.1,-.052,-9.9,-0.1,2020
30,30,BOS,Desmond Bane,TCU,1,11,245,0.4,.071,-3.9,-0.1,2020
31,31,DAL,Tyrell Terry,Stanford,1,5,16,-0.1,-.180,-13.6,0.0,2020
32,32,CHO,Vernon Carey Jr.,Duke,1,3,6,0.0,.203,7.4,0.0,2020
33,33,MIN,Daniel Oturu,Minnesota,1,5,23,0.1,.137,0.4,0.0,2020
34,34,PHI,Théo Maledon,,1,11,225,-0.3,-.062,-8.1,-0.3,2020
35,35,SAC,Xavier Tillman Sr.,Michigan State,1,6,109,0.4,.176,1.4,0.1,2020
36,36,PHI,Tyler Bey,Colorado,1,1,1,0.0,-1.083,-38.1,0.0,2020
37,37,WAS,Vit Krejci,,,,,,,,,2020
38,38,UTA,Saben Lee,Vanderbilt,1,2,25,-0.1,-.167,-8.4,0.0,2020
39,39,NOP,Elijah Hughes,Syracuse,1,5,22,0.0,-.080,-5.7,0.0,2020
40,40,MEM,Robert Woodard,Mississippi State,1,4,14,0.0,-.038,-3.3,0.0,2020
41,41,SAS,Tre Jones,Duke,1,3,10,0.1,.474,12.8,0.0,2020
42,42,NOP,Nick Richards,Kentucky,1,4,12,0.1,.223,-0.7,0.0,2020
43,43,SAC,Jahmi'us Ramsey,Texas Tech,1,4,16,0.0,.010,-3.9,0.0,2020
44,44,CHI,Marko Simonovic,,,,,,,,,2020
45,45,MIL,Jordan Nwora,Louisville,1,8,71,0.2,.103,-2.9,0.0,2020
46,46,POR,CJ Elleby,Washington State,1,6,34,0.1,.135,-2.3,0.0,2020
47,47,BOS,Yam Madar,,,,,,,,,2020
48,48,GSW,Nico Mannion,Arizona,1,1,8,0.0,-.123,-13.9,0.0,2020
49,49,PHI,Isaiah Joe,Arkansas,1,8,156,0.3,.097,-2.0,0.0,2020
50,50,ATL,Skylar Mays,LSU,1,3,11,-0.1,-.220,-15.4,0.0,2020
51,51,GSW,Justinian Jessup,Boise State,,,,,,,,2020
52,52,SAC,Kenyon Martin Jr.,,1,4,29,0.1,.111,1.7,0.0,2020
53,53,OKC,Cassius Winston,Michigan State,1,1,2,0.0,-.313,-24.0,0.0,2020
54,54,IND,Cassius Stanley,Duke,1,5,12,0.1,.295,3.1,0.0,2020
55,55,BRK,Jay Scrubb,John A. Logan College,,,,,,,,2020
56,56,CHO,Grant Riller,College of Charleston,,,,,,,,2020
57,57,LAC,Reggie Perry,Mississippi State,1,5,42,0.0,.046,-4.4,0.0,2020
58,58,PHI,Paul Reed,DePaul,1,4,51,0.0,-.030,-7.4,-0.1,2020
59,59,TOR,Jalen Harris,Nevada,1,1,2,0.0,-.003,-16.9,0.0,2020
60,60,NOP,Sam Merrill,Utah State University,1,7,43,0.2,.241,5.0,0.1,2020
